0,4.5937,-2.99576,9.83648,-14.2991,0
1,4.56638,-3.03003,9.84682,-14.0031,1
2,4.56595,-3.03262,9.84666,-13.9481,2
3,4.56905,-3.04869,9.84802,-7.55495,3
4,4.61424,-3.015,9.85167,-14.3076,4
5,4.5362,-3.05495,9.83067,-7.4041,5
6,4.53787,-3.05371,9.83267,-7.39772,6
7,4.55909,-3.04192,9.83873,-7.68671,7
8,4.5572,-3.03532,9.83924,-7.54743,8
9,4.53601,-3.0168,9.85314,-7.79411,9
10,4.58699,-3.02354,9.85253,-8.26676,10
11,4.55871,-3.03858,9.84551,-7.48755,11
12,4.58352,-2.9895,9.8562,-7.91258,12
13,4.58367,-2.98814,9.8564,-7.90186,13
14,4.61405,-3.03097,9.84916,-7.48831,14
15,4.5514,-3.04253,9.83988,-7.35589,15
16,4.55081,-3.04349,9.84007,-7.37416,16
17,4.52563,-3.05405,9.8448,-14.1413,17
18,4.533,-3.04898,9.8307,-7.47009,18
19,4.53733,-3.05239,9.82741,-14.0685,19
20,4.55713,-3.03185,9.84648,-7.50535,20
21,4.55934,-3.03645,9.83812,-7.87974,21
22,4.54451,-3.04796,9.83274,-13.916,22
23,4.52305,-3.04794,9.84515,-14.4028,23
24,4.56912,-3.01991,9.85054,-7.58988,24
25,4.55879,-3.0326,9.83836,-7.43815,25
26,4.55447,-3.03823,9.8412,-7.6398,26
27,4.55947,-3.03868,9.83972,-7.56014,27
28,4.56906,-3.04154,9.84023,-7.44806,28
29,4.5734,-3.04332,9.83993,-14.0083,29
