0,0.554826,-2.06366,9.19413,-34.1806,0
1,0.557841,-2.12695,9.20091,-34.0981,1
2,0.552907,-2.12777,9.20063,-34.0472,2
3,0.511043,-2.15103,9.20162,-34.0539,3
4,0.559598,-2.13453,9.19945,-34.1768,4
5,0.51066,-2.09233,9.18879,-33.9563,5
6,0.511597,-2.0919,9.18777,-33.9962,6
7,0.508823,-2.09856,9.1946,-34.0512,7
8,0.554812,-1.98773,9.37865,-469.078,8
9,0.443572,-2.0994,9.2271,-34.8815,9
10,0.494429,-2.13998,9.20607,-34.3162,10
11,0.518191,-2.12126,9.20844,-34.0231,11
12,0.563602,-2.12743,9.20652,-34.1321,12
13,0.56026,-2.12413,9.20684,-34.0481,13
14,0.51553,-2.11284,9.19719,-33.9039,14
15,0.516756,-2.11095,9.19708,-33.9006,15
16,0.508847,-2.13784,9.20251,-34.0414,16
17,0.47789,-2.09124,9.19003,-34.0859,17
18,0.527829,-2.08819,9.18194,-34.0348,18
19,0.512415,-2.12581,9.20475,-33.9289,19
20,0.50856,-2.09646,9.18889,-33.9386,20
21,0.51044,-2.09613,9.1887,-33.9426,21
22,0.520603,-2.13247,9.20329,-34.0599,22
23,0.513681,-2.13281,9.20361,-34.078,23
24,0.521001,-2.13023,9.20577,-34.0727,24
25,0.515697,-2.09904,9.19626,-33.9868,25
26,0.510491,-2.1006,9.20066,-34.102,26
27,0.51069,-2.09505,9.20025,-34.0778,27
28,0.515236,-2.11562,9.1942,-34.0228,28
29,0.537555,-2.11352,9.20027,-34.0404,29
