0,19,4.99897,0.218747,1.11,-296.032,19,1,1
1,19,4.99897,0.218747,1.11,-296.032,19,2,2
2,16,4.97838,1.94175,2.11135,-281.883,16,2,1
3,16,4.60617,2.36939,2.61696,-130.918,16,3,3
4,17,7.1584,0.518656,6.43622,-303.194,17,3,2
5,17,8.37822,1.3256,7.4279,-115.935,17,3,1
6,18,8.42988,2.41674,9.05013,-75.4296,18,4,4
7,18,8.36445,2.39991,10.7767,-21.2973,18,1,4
8,15,5.74453,0.589456,9.00653,-95.1758,16,4,2
9,16,2.38878,-0.443363,9.43544,-148.65,16,4,3
10,12,1.19272,1.30704,4.3959,-28.342,12,1,3
11,11,5.05589,-2.57844,5.59491,-4.03073222882,11,4,1
