0,17,4.99002,0.191455,1.10711,-290.033,17,1,1
1,17,4.99002,0.191455,1.10711,-290.033,17,1,1
2,13,4.98186,1.96232,2.11472,-296.0,13,2,2
3,13,4.58545,2.3409,2.61165,-136.146,13,3,3
4,14,7.14703,0.52212,6.42727,-270.118,14,1,2
5,14,8.38428,1.35265,7.44575,-129.169,14,3,2
6,14,8.40174,2.42667,9.04252,-81.6808,14,2,2
7,15,8.33032,2.41407,10.7631,-7.95886,14,2,2
8,12,5.70468,0.622144,9.00474,-102.475,13,1,1
9,13,2.33752,-0.444232,9.41814,-142.154,13,4,4
10,10,1.15044,1.31235,4.37314,-40.9643,10,5,5
11,9,5.03085,-2.5774,5.59473,-0.871716,9,5,4
12,9,5.49898,-2.76557,6.20147,-2.24961,9,2,4
13,6,-7.06644,-2.75699,9.30059,-88.1775,6,6,6
14,6,-8.09894,-2.65162,9.45383,-268.425,6,4,6
15,7,3.16925,-2.50792,12.676,-7.91416,7,3,4
16,7,4.755,-2.58216,11.4984,-0.579406,7,6,4
17,7,4.83766,-2.79334,10.9702,-7.41653,7,3,4
18,7,4.81365,-2.86831,10.3733,-0.825053,7,1,4
19,8,-5.72763,-2.82999,10.093,-47.8885,8,3,6
20,8,-7.43307,-2.73276,9.04498,-34.5109,8,1,6
21,13,1.513,-2.99967,11.614,-0.680041,13,3,5
22,13,1.79146,-3.23743,12.1206,-0.602984,13,1,5
23,13,-2.53263,-4.466,17.3196,-82.0749,12,7,7
24,12,-2.40453,-5.45206,17.5811,-176.211,13,7,7
25,12,-2.13413,-6.41404,17.2662,-303.111,12,6,7
26,10,-2.06045,-7.5705,18.142,-48.9858,11,2,7
27,9,-1.90331,-7.56184,19.8023,-74.841,9,1,7
28,8,-5.36364,-4.06116,23.1308,-28.1279,8,8,8
29,7,-5.33313,-5.51186,24.2061,-162.631,8,8,8
30,6,-4.81409,-6.20357,24.0044,-29.9614,7,5,8
31,6,-4.5838,-7.20316,23.5686,-28.917,6,1,8
32,6,-4.65261,-8.1756,22.5399,-20.7921,6,6,8
33,6,-4.65597,-8.20758,22.0055,-20.9364,6,2,8
34,11,-5.91663,0.444787,14.4937,-0.932495,11,9,9
35,11,-6.24287,0.701531,15.619,-34.9086,11,6,9
36,10,-7.97825,0.238184,15.3837,-3.21690584346,11,7,9
