0,11,4.9752,0.191783,1.10999,-295.703,11,1,1
1,11,4.9752,0.191783,1.10999,-295.703,11,2,2
2,8,4.94668,1.92799,2.10404,-295.168,8,2,2
3,8,4.56109,2.33924,2.6208,-135.795,8,2,1
4,8,7.15763,0.585384,6.41609,-342.386,8,3,3
5,8,8.39209,1.32699,7.45175,-122.452,8,1,3
6,8,8.41029,2.41683,9.04011,-74.8322,8,2,3
7,9,8.34755,2.40908,10.7558,-14.4414,8,2,3
8,7,5.70905,0.587946,9.00326,-95.2479,7,1,2
9,7,2.33582,-0.430955,9.443,-148.695,7,4,4
10,5,1.13686,1.30057,4.39041,-34.7542,5,5,5
11,4,5.04599,-2.58545,5.59839,-1.01746,4,4,1
12,4,5.5148,-2.77309,6.20593,-2.24439,4,3,1
13,2,-7.02823,-2.85167,9.30714,-87.9564,2,6,6
14,2,-8.05795,-2.74646,9.46313,-3.34287592859,2,3,6
